model,metric,start,end,basename,norm,vmin_percent,vmax_percent,width_inches,height_inches,has_title,has_colorbar
4b,tokenmass,1,50,4b/4b_tokenmass_1_50,LogNorm,1.9582086933500017e-05,0.9527564560895543,2.35,2.05,False,False
4b,advmass,1,50,4b/4b_advmass_1_50,LogNorm,2.862904225712172e-05,1.193457405909439,2.35,2.05,False,False
4b,tokenmass,51,100,4b/4b_tokenmass_51_100,LogNorm,1.9582086933500017e-05,0.9527564560895543,2.35,2.05,False,False
4b,advmass,51,100,4b/4b_advmass_51_100,LogNorm,2.862904225712172e-05,1.193457405909439,2.35,2.05,False,False
4b,tokenmass,101,150,4b/4b_tokenmass_101_150,LogNorm,1.9582086933500017e-05,0.9527564560895543,2.35,2.05,False,False
4b,advmass,101,150,4b/4b_advmass_101_150,LogNorm,2.862904225712172e-05,1.193457405909439,2.35,2.05,False,False
4b,tokenmass,151,200,4b/4b_tokenmass_151_200,LogNorm,1.9582086933500017e-05,0.9527564560895543,2.35,2.05,False,False
4b,advmass,151,200,4b/4b_advmass_151_200,LogNorm,2.862904225712172e-05,1.193457405909439,2.35,2.05,False,False
4b,tokenmass,201,250,4b/4b_tokenmass_201_250,LogNorm,1.9582086933500017e-05,0.9527564560895543,2.35,2.05,False,False
4b,advmass,201,250,4b/4b_advmass_201_250,LogNorm,2.862904225712172e-05,1.193457405909439,2.35,2.05,False,False
4b,tokenmass,251,324,4b/4b_tokenmass_251_324,LogNorm,1.9582086933500017e-05,0.9527564560895543,2.35,2.05,False,False
4b,advmass,251,324,4b/4b_advmass_251_324,LogNorm,2.862904225712172e-05,1.193457405909439,2.35,2.05,False,False
30b,tokenmass,1,100,30b/30b_tokenmass_1_100,LogNorm,1.9582086933500017e-05,0.9527564560895543,2.35,2.05,False,False
30b,advmass,1,100,30b/30b_advmass_1_100,LogNorm,2.862904225712172e-05,1.193457405909439,2.35,2.05,False,False
30b,tokenmass,101,200,30b/30b_tokenmass_101_200,LogNorm,1.9582086933500017e-05,0.9527564560895543,2.35,2.05,False,False
30b,advmass,101,200,30b/30b_advmass_101_200,LogNorm,2.862904225712172e-05,1.193457405909439,2.35,2.05,False,False
30b,tokenmass,201,300,30b/30b_tokenmass_201_300,LogNorm,1.9582086933500017e-05,0.9527564560895543,2.35,2.05,False,False
30b,advmass,201,300,30b/30b_advmass_201_300,LogNorm,2.862904225712172e-05,1.193457405909439,2.35,2.05,False,False
30b,tokenmass,301,400,30b/30b_tokenmass_301_400,LogNorm,1.9582086933500017e-05,0.9527564560895543,2.35,2.05,False,False
30b,advmass,301,400,30b/30b_advmass_301_400,LogNorm,2.862904225712172e-05,1.193457405909439,2.35,2.05,False,False
30b,tokenmass,401,500,30b/30b_tokenmass_401_500,LogNorm,1.9582086933500017e-05,0.9527564560895543,2.35,2.05,False,False
30b,advmass,401,500,30b/30b_advmass_401_500,LogNorm,2.862904225712172e-05,1.193457405909439,2.35,2.05,False,False
30b,tokenmass,501,600,30b/30b_tokenmass_501_600,LogNorm,1.9582086933500017e-05,0.9527564560895543,2.35,2.05,False,False
30b,advmass,501,600,30b/30b_advmass_501_600,LogNorm,2.862904225712172e-05,1.193457405909439,2.35,2.05,False,False
30b,tokenmass,601,724,30b/30b_tokenmass_601_724,LogNorm,1.9582086933500017e-05,0.9527564560895543,2.35,2.05,False,False
30b,advmass,601,724,30b/30b_advmass_601_724,LogNorm,2.862904225712172e-05,1.193457405909439,2.35,2.05,False,False
